Word,Meaning
of,"Expressing direction."
to,"Indicating destination: In the direction of, and arriving at."
in,"Used to indicate location, inclusion, or position within spatial, temporal or other limits"
for,Towards.
with,Against.
on,"Positioned at the upper surface of, touching from above."
at,"In or very near a particular place."
by,"Near or next to."
from,"With the source or provenance of or at."
into,"Going inside (of)."
about,"In a circle around; all round; on every side of; on the outside of."
like,"Similar to, reminiscent of."
between,"In the position or interval that separates (two things), or intermediate in quantity or degree. (See the Usage notes below.)"
after,"Subsequently to; following in time; later than."
over,"Physical positioning."
through,"From one side of an opening to the other."
against,"(heading physical) A close but separated relationship."
under,"In or at a lower level than."
within,"Indicates spatial enclosure or containment."
without,"(archaic or literary) Outside of, beyond."
during,"For all of a given time interval."
before,"Earlier than (in time)."
towards,"Alternative form of toward"
upon,"Being above and in contact with another."
around,"Defining a circle or closed curve containing a thing."
among,"Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst)"
across,"To, toward or from the far side of (something that lies between two points of interest)."
off,"Used to indicate movement away from a position on"
behind,"At the back of; positioned with something else in front of."
since,"From: referring to a period of time ending in the present and defining it by the point in time at which it started, or or the period in which its starting point occurred."
until,"Up to the time of (something happening)."
despite,"In spite of, notwithstanding, regardless of."
per,"for each"
near,"Close to, in close proximity to."
above,"Physically over; on top of; worn on top of, as clothing."
outside,"On the outside of, not inside (something, such as a building)."
along,"By the length of; in a line with the length of; lengthwise next to."
throughout,"In every part of; all through."
round,"(rare _ in US) Alternative form of around"
beyond,"Further away than."
down,"From the higher end to the lower of."
up,"Toward the top of."
inside,"Within the interior of something, closest to the center or to a specific point of reference."
past,"beyond in place, quantity or time"
onto,"Upon; on top of."
below,"Lower in spatial position than."
beside,"Next to; at the side of."
amongst,"Denotes a mingling or intermixing with distinct or separable objects. See usage note at amidst."
via,"By way of; passing through."
beneath,Below.
unlike,"Differently from; not in a like or similar manner."
except,"With the exception of; but."
alongside,"Together with or at the same time."
till,"Until; to, up to; as late as (a given time)."
but,"(obsolete outside Scotland) Outside of."
minus,"(informal) Without."
toward,"In the direction of."
opposite,"Facing, or across from."
amid,"Surrounded by; in the middle of; in the center of."
versus,"against, in opposition to."
underneath,"Under, below, beneath."
out,"(nonstandard contraction of out of) Away from the inside."
re,"About, regarding, with reference to; especially in letters and documents."
besides,"(obsolete) Beside."
aboard,"On board of; onto or into a ship, boat, train, plane."
amidst,"In the midst or middle of; surrounded or encompassed by; among."
notwithstanding,"In spite of, despite."
vs,"Alternative form of vs."
unto,"(archaic or poetic) Up to, indicating a motion towards a thing and then stopping at it."
save,"Except; with the exception of."
post,"After; especially after a significant event that has long-term ramifications."
fer,"(dialectal especially British) Eye dialect of for"
