pronoun,Meaning
it,"The third-person singular personal pronoun that is normally used to refer to an inanimate object, also often used to refer to animals."
you,"(object pronoun) The people spoken, or written to, as an object."
he,"(personal) A male person or animal already known or implied."
she,"(personal) The female person or animal previously mentioned or implied."
we,"(personal) The speakers/writers, or the speaker/writer and at least one other person (not the person being addressed). (This is the exclusive we.)"
her,"The form of she used after a preposition or as the object of a verb; that woman, that ship, etc."
there,"Used as an expletive subject of be in its sense of exist, with the semantic, usually indefinite subject being postponed or (occasionally) implied."
them,"Objective case of they: third personal plural pronoun used after a preposition or as the object of a verb."
him,"A masculine pronoun; he as a grammatical object."
me,"As the direct object of a verb."
one,"(impersonal pronoun) One thing (among a group of others); one member of a group."
us,"(personal) Me and at least one other person; the objective case of 'we'."
something,"An uncertain or unspecified thing; one thing."
nothing,"Not any thing; no thing."
himself,"(reflexive) Him; the male object of a verb or preposition that also appears as the subject"
anything,"Any object, act, state, event, or fact whatever; thing of any kind; something or other; aught."
itself,"(reflexive) it; A thing as the object of a verb or preposition that also appears as the subject"
themselves,"The reflexive case of 'they', the third-person plural personal pronoun. The group of people, animals or objects previously mentioned, as the object of a verb or following a preposition (also used for emphasis)."
someone,"Some person."
everything,"(literally) All the things under discussion."
herself,"(reflexive) Her; the female object of a verb or preposition that also appears as the subject."
anyone,"Any person; anybody."
whatever,"No matter what; for any"
everyone,"Every person."
myself,"(reflexive) Me, as direct or indirect object the speaker as the object of a verb or preposition, when the speaker is also the subject."
yourself,"(reflexive) Your own self (singular)."
none,"Not any of a given number or group, particularly:"
somebody,"Some unspecified person."
everybody,"All people."
nobody,"Not any person; the logical negation of somebody."
anybody,"Any one out of an indefinite number of persons; anyone; any person."
plenty,"More than enough."
mine,"My; belonging to me; that which belongs to me."
ourselves,"(reflexive) Us; the group including the speaker as the object of a verb or preposition when that group also is the subject."
yours,"That which belongs to you (singular); the possessive second-person singular pronoun used without a following noun."
no-one,"Alternative form of no one"
ours,"That which belongs to us; the possessive case of we, used without a following noun."
ye,"(archaic outside Northern England Cornwall Ireland) You (the people being addressed)."
yer,"(UK slang or dialectal uncommon) Eye dialect of you"
theirs,"That which belongs to them; the possessive case of they, used without a following noun."
whatsoever,"(obsolete) whatever"
thou,"(archaic literary religious ceremonial, or dialectal) you singular nominative case"
oneself,"The person, previously mentioned."
nought,"Nothing; zero."
summat,"(British Northern England Yorkshire) Something."
'im,"(colloquial) Representing a pronunciation of 'him' that drops the h."
em,"(neologism) them (singular). Gender-neutral third-person singular object pronoun, coordinate with him and her."
'er,"Eye dialect of her"
he/she,"He or she; singular of they, used as a gender-neutral reference to the third person singular."
yu,"Eye dialect of you"
nowt,"(Northern England) Naught, nothing."
ah,"Eye dialect of I#Pronoun, most often indicating that the speaker is using a Scottish or American (particularly Southern) accent."
'is,"Eye dialect of his"
owt,"(Northern England) aught, anything"
meself,"(slang or dialectal UK) Alternative form of myself"
dem,"nonstandard form of them"
nothin',"Eye dialect of nothing"
'un,"(colloquial) one (a thing)."
naught,"(Archaic) Nothing."
somethin',"informal spelling of something"
thine,"(Archaic) Singular second person possessive pronoun."
aught,"anything whatever, any part."
yerself,"(nonstandard or dialectal) Alternative form of yourself"
thyself,"(archaic literary dialectal) yourself (as the object of a verb or preposition or as an intensifier); reflexive case of thou"
she/he,"She or he; singular of they, used as a gender-neutral reference to the third person singular."
somewhat,"(Archaic) Something."
theirselves,"(nonstandard) Alternative form themselves"
nuffink,"Eye dialect of nothing"
ourself,"The reflexive of the editorial or royal we; myself as used by a writer or speaker who would refer to himself in the nominative case as we. (Normally, the reflexive case of we is ourselves)."
dere,"pronunciation spelling of there"
anythin',"informal spelling of anything"
themself,"The reflexive form of 'they', the third-person singular personal pronoun. The single person previously mentioned, as the object of a verb or following a preposition (also used for emphasis)."
dey,"Eye dialect of they"
youse,"Alternative form of yous"
theirself,"(nonstandard) Alternative form of themself."
you-know-who,"Person or entity whose name one does not want to mention but which is known to the person to whom one is speaking."
hisself,"(nonstandard now _ chiefly dialect) Variant form himself"
hirself,"(neologism reflexive) hir, themself; Gender-neutral third-person singular object of a verb or preposition that also appears as the subject, coordinate with gendered himself and herself."
everythin',"Alternative form of everything"
mesen,"(dialect) Myself."
hym,"Obsolete spelling of him"
someting,"Eye dialect of something"
hir,"(neologism) them (singular). Gender-neutral third-person singular object pronoun, coordinate with him and her."
nuthin,"Eye dialect spelling of nothing"
